iso_time,epoch_s,board_ms,thrust_lbf,thrust_N,raw_counts
2026-09-17T15:23:44.553,1789683824.554,139142,1.7678,7.864,-104981
2026-09-17T15:23:44.553,1789683824.554,139257,1.1492,5.112,-26041
2026-09-17T15:23:44.955,1789683824.955,139372,0.5219,2.321,38250
2026-09-17T15:23:44.955,1789683824.955,139488,0.2336,1.039,62151
2026-09-17T15:23:44.955,1789683824.956,139603,0.0238,0.106,76689
2026-09-17T15:23:45.359,1789683825.359,139718,-0.0141,-0.063,76851
2026-09-17T15:23:45.359,1789683825.360,139834,-0.0136,-0.060,75984
2026-09-17T15:23:45.360,1789683825.360,139950,-0.0049,-0.022,75587
2026-09-17T15:23:45.763,1789683825.764,140064,-0.0048,-0.021,75630
2026-09-17T15:23:45.763,1789683825.764,140180,-0.0053,-0.024,75426
2026-09-17T15:23:45.763,1789683825.764,140296,-0.0055,-0.025,75486
2026-09-17T15:23:45.764,1789683825.764,140410,-0.0060,-0.027,75360
2026-09-17T15:23:46.165,1789683826.166,140526,-0.0048,-0.021,75508
2026-09-17T15:23:46.166,1789683826.166,140642,-0.0049,-0.022,75559
2026-09-17T15:23:46.166,1789683826.166,140756,-0.0047,-0.021,75526
2026-09-17T15:23:46.571,1789683826.571,140872,-0.0048,-0.021,75575
2026-09-17T15:23:46.571,1789683826.572,140988,-0.0048,-0.021,75530
2026-09-17T15:23:46.571,1789683826.572,141103,-0.0049,-0.022,75528
2026-09-17T15:23:46.571,1789683826.572,141218,-0.0057,-0.025,75572
2026-09-17T15:23:46.972,1789683826.972,141334,-0.0047,-0.021,75544
2026-09-17T15:23:46.972,1789683826.972,141449,-0.0052,-0.023,75587
2026-09-17T15:23:46.972,1789683826.973,141564,-0.0044,-0.019,75472
2026-09-17T15:23:47.375,1789683827.375,141680,-0.0045,-0.020,75258
2026-09-17T15:23:47.375,1789683827.376,141795,-0.0037,-0.016,75297
2026-09-17T15:23:47.376,1789683827.376,141911,-0.0048,-0.022,75636
2026-09-17T15:23:47.376,1789683827.376,142026,-0.0044,-0.020,75373
2026-09-17T15:23:47.778,1789683827.779,142141,-0.0045,-0.020,75366
2026-09-17T15:23:47.778,1789683827.779,142257,-0.0048,-0.021,75818
2026-09-17T15:23:47.779,1789683827.779,142372,-0.0035,-0.016,75750
2026-09-17T15:23:48.183,1789683828.183,142487,-0.0045,-0.020,75560
2026-09-17T15:23:48.183,1789683828.184,142603,-0.0036,-0.016,75723
2026-09-17T15:23:48.183,1789683828.184,142718,-0.0040,-0.018,75755
2026-09-17T15:23:48.183,1789683828.184,142833,-0.0042,-0.018,75488
