# t_s, edges, edges_per_s, motor_rpm, rotor_rpm
442.024,55,1098.9,16483,2060
442.074,56,1116.3,16744,2093
442.124,56,1117.1,16757,2095
442.174,56,1117.6,16764,2096
442.224,55,1099.8,16497,2062
442.274,56,1117.1,16756,2095
442.324,56,1116.7,16751,2094
442.375,55,1099.4,16491,2061
442.425,56,1119.1,16787,2098
442.475,55,1096.3,16444,2056
442.525,56,1118.4,16776,2097
442.575,56,1117.0,16755,2094
442.625,55,1098.4,16475,2059
442.675,56,1116.1,16742,2093
442.725,56,1117.3,16760,2095
442.775,56,1116.4,16747,2093
442.826,55,1098.0,16470,2059
442.876,56,1119.9,16799,2100
442.926,56,1117.3,16759,2095
442.976,55,1099.0,16485,2061
443.026,56,1119.2,16789,2099
443.076,55,1096.4,16445,2056
443.126,56,1118.9,16784,2098
443.176,56,1116.2,16743,2093
443.226,56,1116.7,16751,2094
443.276,55,1097.1,16456,2057
443.326,56,1119.9,16798,2100
443.376,55,1099.9,16498,2062
443.427,56,1118.1,16771,2096
443.477,56,1119.2,16789,2099
443.527,55,1097.3,16460,2057
443.577,56,1118.8,16782,2098
443.627,56,1117.4,16762,2095
443.677,55,1098.1,16471,2059
443.727,56,1119.8,16797,2100
443.777,56,1117.7,16766,2096
443.827,55,1099.8,16497,2062
443.877,56,1117.9,16769,2096
443.927,56,1114.8,16722,2090
443.978,56,1114.8,16722,2090
444.028,55,1098.9,16483,2060
444.078,56,1118.4,16775,2097
444.128,55,1099.7,16496,2062
444.178,56,1119.2,16788,2098
444.228,56,1115.2,16728,2091
444.278,56,1116.3,16744,2093
444.328,55,1098.4,16475,2059
444.378,56,1117.8,16767,2096
444.428,56,1116.8,16752,2094
444.479,56,1115.9,16739,2092
444.529,55,1099.0,16485,2061
444.579,56,1118.9,16783,2098
444.629,56,1118.2,16773,2097
444.679,55,1097.7,16465,2058
444.729,56,1115.9,16739,2092
444.779,56,1117.7,16766,2096
444.829,55,1097.1,16456,2057
444.880,56,1116.2,16743,2093
444.930,56,1117.9,16769,2096
444.980,56,1118.0,16770,2096
445.030,55,1098.5,16478,2060
445.080,56,1120.0,16800,2100
445.130,55,1099.9,16498,2062
445.180,56,1118.4,16776,2097
445.230,56,1118.4,16775,2097
445.280,55,1097.6,16463,2058
445.330,56,1115.9,16739,2092
445.380,56,1117.3,16760,2095
445.430,56,1119.7,16795,2099
445.480,55,1096.8,16451,2056
445.531,56,1116.7,16750,2094
445.581,56,1115.3,16730,2091
445.631,56,1114.8,16722,2090
